run_id,station_id,forecast_at,horizon_h,predicted_load_kw,predicted_busy_count,predicted_idle_count,congestion_level,is_peak
f-20260915-232113,5,2026-09-15T09:00:00+08:00,10,944.891,26,10,medium,0
f-20260915-232113,5,2026-09-15T10:00:00+08:00,11,685.804,20,16,medium,0
f-20260915-232113,5,2026-09-15T11:00:00+08:00,12,605.287,16,20,low,0
f-20260915-232113,5,2026-09-15T12:00:00+08:00,13,732.578,18,18,medium,0
f-20260915-232113,5,2026-09-15T13:00:00+08:00,14,598.735,16,20,low,0
f-20260915-232113,5,2026-09-15T14:00:00+08:00,15,598.784,16,20,low,0
f-20260915-232113,5,2026-09-15T15:00:00+08:00,16,671.122,18,18,medium,0
f-20260915-232113,5,2026-09-15T16:00:00+08:00,17,798.076,21,15,medium,0
f-20260915-232113,5,2026-09-15T17:00:00+08:00,18,874.758,25,11,medium,0
f-20260915-232113,5,2026-09-15T18:00:00+08:00,19,1058.043,29,7,high,1
f-20260915-232113,5,2026-09-15T19:00:00+08:00,20,942.478,25,11,medium,1
f-20260915-232113,5,2026-09-15T20:00:00+08:00,21,769.048,21,15,medium,0
f-20260915-232113,5,2026-09-15T21:00:00+08:00,22,635.341,17,19,low,0
f-20260915-232113,5,2026-09-15T22:00:00+08:00,23,462.941,13,23,low,0
f-20260915-232113,5,2026-09-15T23:00:00+08:00,24,347.387,9,27,low,0
f-20260915-232113,6,2026-09-15T00:00:00+08:00,1,254.011,7,29,low,0
f-20260915-232113,6,2026-09-15T01:00:00+08:00,2,155.275,4,32,low,0
f-20260915-232113,6,2026-09-15T02:00:00+08:00,3,132.82,4,32,low,0
f-20260915-232113,6,2026-09-15T03:00:00+08:00,4,111.613,3,33,low,0
f-20260915-232113,6,2026-09-15T04:00:00+08:00,5,134.811,4,32,low,0
f-20260915-232113,6,2026-09-15T05:00:00+08:00,6,200.143,5,31,low,0
f-20260915-232113,6,2026-09-15T06:00:00+08:00,7,370.678,11,25,low,0
f-20260915-232113,6,2026-09-15T07:00:00+08:00,8,672.227,20,16,medium,0
f-20260915-232113,6,2026-09-15T08:00:00+08:00,9,888.933,25,11,medium,1
f-20260915-232113,6,2026-09-15T09:00:00+08:00,10,908.832,24,12,medium,1
f-20260915-232113,6,2026-09-15T10:00:00+08:00,11,612.077,17,19,low,0
f-20260915-232113,6,2026-09-15T11:00:00+08:00,12,522.076,15,21,low,0
f-20260915-232113,6,2026-09-15T12:00:00+08:00,13,580.461,15,21,low,0
f-20260915-232113,6,2026-09-15T13:00:00+08:00,14,519.299,14,22,low,0
f-20260915-232113,6,2026-09-15T14:00:00+08:00,15,511.451,14,22,low,0
f-20260915-232113,6,2026-09-15T15:00:00+08:00,16,558.986,16,20,low,0
f-20260915-232113,6,2026-09-15T16:00:00+08:00,17,657.566,18,18,medium,0
f-20260915-232113,6,2026-09-15T17:00:00+08:00,18,790.677,22,14,medium,0
f-20260915-232113,6,2026-09-15T18:00:00+08:00,19,932.076,27,9,medium,0
f-20260915-232113,6,2026-09-15T19:00:00+08:00,20,865.555,23,13,medium,0
f-20260915-232113,6,2026-09-15T20:00:00+08:00,21,673.147,18,18,medium,0
f-20260915-232113,6,2026-09-15T21:00:00+08:00,22,544.731,15,21,low,0
f-20260915-232113,6,2026-09-15T22:00:00+08:00,23,402.677,11,25,low,0
f-20260915-232113,6,2026-09-15T23:00:00+08:00,24,288.634,8,28,low,0
